no,start_lon,start_lat,end_lon,end_lat,location,pmv,heat_13-value,heat_7-value,humi_feel,sun_feel,wind_feel,temp,humi,kPa,wind_speed,Block,lat,lon,depthmap,Ref,x1,y1,x2,y2,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration (HH) R3,Integration (P-value) R3,Integration (Tekl) R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3
1,121.5299,25.043106,121.5307,25.042894,1,2.01,-0.5,-1,0,-1,2,31.396,71.256,101.3499527,50.637,1,25.0429271,121.5305603,0,0,-469.0180554,647.8763887,-356.6759555,617.6200052,2,1.5306391,3,0.8619656,0.8619656,0.52832085,1.7493018,116.34516,2.1428571,8,1.2942394
2,121.5307,25.042894,121.5321,25.042587,2,1.92,-0.5,-1,0,-1,1,31.094,73.192,101.3457031,34.123,2,25.0427499,121.5313395,1,1,-356.6759555,617.6200052,-214.5825194,579.2345746,2,1.5491613,2.6666667,0.84912294,0.84912294,0.51139158,2.1688259,147.1869,2,7,1.0911623
3,121.5321,25.042587,121.5323,25.042443,3,1.826666667,-0.166666667,-0.333333333,0.666666667,-0.666666667,2.666666667,30.92933333,71.29133333,101.3899892,41.46566667,3,25.0424463,121.5322938,2,2,-214.5825194,579.2345746,-193.8867575,573.6437764,2,1.5491613,2.6666667,0.84912294,0.84912294,0.51139158,2.1688259,21.43762,2,7,1.0911623
4,121.5323,25.042443,121.5328,25.042313,4,1.703333333,-0.5,-1.333333333,0.666666667,-1,2,30.58033333,71.998,101.3921229,30.08633333,4,25.0423925,121.5324921,3,3,-193.8867575,573.6437764,-113.7708333,551.9208332,2,1.5306391,3,0.8619656,0.8619656,0.52832085,1.7493018,83.00872,2.1428571,8,1.2942394
5,121.5298,25.042611,121.5306,25.042403,5,2.12,0,-1,1,-1,2,31.598,72.458,101.3469696,43.914,5,25.0424483,121.5304177,29,29,-456.1036185,587.7890576,-370.8307531,561.825511,3,1.5415961,5.1063828,1.3988512,1.3988512,0.66463226,1.6700624,89.137909,2.0833333,13,1.3539122
6,121.5306,25.042403,121.5319,25.042051,6,2.21,0,-1,1,-1,1,31.769,71.602,101.3349381,23.147,6,25.0422954,121.5309931,30,30,-370.8307531,561.825511,-246.7680555,524.0513888,1,1.3055289,2.3529413,0.73918515,0.73918515,0.5041489,1.0681599,129.68591,2.5,9,1.7962018
7,121.5297,25.042171,121.5305,25.041992,7,2.4,0,-1,0,-1,2,32.293,69.808,101.34758,45.489,7,25.0420172,121.5303675,33,33,-469.0180554,537.1041665,-382.6005264,515.4275669,3,1.4390807,6.9421487,1.5448366,1.5448366,0.68307137,1.1623344,89.094696,2.3499999,21,1.7692264
8,121.5305,25.041992,121.5317,25.041706,8,2.12,-0.5,-1,0,-1,1,31.517,72.785,101.3387451,20.862,8,25.0418886,121.530908,32,32,-382.6005264,515.4275669,-266.8763888,485.598611,3,1.4176338,7.0534353,1.5517242,1.5517242,0.68380839,1.1138551,119.50666,2.3809524,22,1.8221259
9,121.5317,25.041706,121.5322,25.041697,9,1.786666667,-0.666666667,-1.666666667,1.666666667,-1,1.666666667,30.79866667,71.09833333,101.3896891,30.74466667,9,25.0416981,121.532012,31,31,-266.8763888,485.598611,-193.675,484.8930554,2,1.3386233,4.173913,1.0952908,1.0952908,0.60852319,1.0411515,73.204788,2.4615386,14,1.8866836
10,121.5322,25.04157,121.5328,25.041577,10,2.02,0.5,0.333333333,2,-1,0.666666667,31.19833333,70.32133333,101.3988775,13.75033333,10,25.0415709,121.5324018,41,41,-215.8999999,468.6652777,-138.9944444,468.6652777,2,1.4854122,4.2105265,1.1191936,1.1191936,0.60985333,1.3711498,76.905556,2.2727273,12,1.5487748
11,121.5296,25.041803,121.5304,25.041611,11,2.31,0,0,1,-1,1,32.031,70.683,101.350708,21.912,11,25.0416826,121.530095,34,34,-479.4239617,496.1734236,-393.4280761,472.7439912,3,1.3953235,7.1489363,1.5598243,1.5598243,0.68473619,1.069748,89.130417,2.409091,23,1.8724692
12,121.5304,25.041611,121.5315,25.041345,12,2.45,0,0,0,-1,1,32.333,70.357,101.3586426,9.983,12,25.0414352,121.5311029,35,35,-393.4280761,472.7439912,-277.4597222,441.148611,3,1.3801751,6.8571429,1.5,1.5,0.67699248,1.0470294,120.19537,2.4285715,22,1.9013594
13,121.5315,25.041345,121.5322,25.041366,13,2.256666667,0.333333333,-0.333333333,1,-0.666666667,1,31.97366667,67.41433333,101.3934631,32.069,13,25.0413284,121.5317153,36,36,-277.4597222,441.148611,-205.5643627,441.148611,2,1.3419172,4.6451612,1.1981546,1.1981546,0.62953198,1.0224131,71.895363,2.4666667,16,1.9073327
14,121.5322,25.041366,121.5328,25.041312,14,1.806666667,0,0,0.666666667,-1.666666667,1,30.60733333,71.75766667,101.3966472,11.584,14,25.0413339,121.5324443,37,37,-205.5643627,441.148611,-147.4611111,441.1486132,3,1.4726398,6.0759492,1.3938289,1.3938289,0.66181248,1.2517439,58.103252,2.3125,17,1.6838834
15,121.5294,25.041358,121.5302,25.041147,15,2.68,-0.5,-1,1,-1,2,33.018,66.911,101.345459,17.524,15,25.0412456,121.5298335,61,61,-491.8420602,447.3880369,-405.6372313,424.6139591,2,1.3366557,5,1.2906152,1.2906152,0.64601481,1.0024918,89.162384,2.4705882,18,1.9312027
16,121.5302,25.041147,121.5316,25.04082,16,2.21,0.5,1,-1,0,0,31.658,71.602,101.3363266,8.677,16,25.0409982,121.5308349,62,62,-405.6372313,424.6139591,-274.5308707,389.9775415,4,1.4278139,8.5146198,1.6741856,1.6741856,0.69851047,1.1154796,135.60442,2.375,25,1.838447
17,121.5316,25.04082,121.532,25.040817,17,2,0,0,0.75,-0.75,0.75,31.265,70.842,101.3819714,25.5305,17,25.0408152,121.53176,63,63,-274.5308707,389.9775415,-235.1243281,388.8320145,2,1.3993975,4.848485,1.2552096,1.2552096,0.63915122,1.1195179,39.423187,2.4000001,16,1.7939149
18,121.532,25.040817,121.5328,25.040766,18,1.916666667,-0.333333333,-1.333333333,1.666666667,-1.333333333,1.666666667,31.017,70.76933333,101.3902181,29.11366667,18,25.0408024,121.5323018,64,64,-235.1243281,388.8320145,-148.6958333,386.4680555,3,1.4524539,4.9411764,1.2241485,1.2241485,0.63241249,1.2708972,86.460815,2.3076923,14,1.6808264
19.1,121.532,25.040817,121.532,25.040622,19.1,2.19,1.5,1,0,1,0,31.537,73.352,101.338913,6.686,19.1,25.0406991,121.5320006,65,65,-241.4763888,396.3458332,-143.4041666,361.0680555,2,1.5142466,3.6923077,1,1,0.57812965,1.5142466,104.22419,2.2222223,10,1.4379251
19.2,121.532,25.040622,121.5328,25.040597,19.2,1.99,0,0,0,-1,0,31.245,73.297,101.3357697,34.123,19.2,25.0406122,121.5322452,65,65,-241.4763888,396.3458332,-143.4041666,361.0680555,2,1.5142466,3.6923077,1,1,0.57812965,1.5142466,104.22419,2.2222223,10,1.4379251
20,121.5293,25.040805,121.5301,25.040654,20,2.4,1,1,-1,0,1,32.293,69.278,101.3435822,26.722,20,25.0407062,121.5297888,42,42,-506.4556408,389.9775415,-420.3786839,366.5012715,3,1.3635821,7.5505619,1.632839,1.632839,0.69342643,1.0129467,89.220947,2.4400001,26,1.9389621
21,121.5301,25.040654,121.5311,25.040374,21,2.21,-0.5,0,-1,0,1,31.809,70.64,101.3605728,27.137,21,25.0405667,121.5303935,43,43,-420.3786839,366.5012715,-271.1097222,325.7902777,4,1.45732,8.727273,1.7265038,1.7265038,0.70471239,1.175258,154.72107,2.3333333,25,1.7704366
22,121.5311,25.040374,121.5316,25.040273,22,1.98,-1,0,0,-1,2,31.336,72.354,101.3637924,72.55,22,25.0403395,121.5312408,43,43,-420.3786839,366.5012715,-271.1097222,325.7902777,4,1.45732,8.727273,1.7265038,1.7265038,0.70471239,1.175258,154.72107,2.3333333,25,1.7704366
23,121.5316,25.040273,121.5323,25.040192,23,1.96,0,0,0,-1,0,31.215,72.723,101.3539047,36.123,23,25.040236,121.5319224,44,44,-271.1097222,325.7902777,-199.7292205,321.9336711,5,1.5140622,8.5714283,1.7307693,1.7307693,0.70672709,1.3323747,71.484612,2.2380953,22,1.6421758
24,121.5323,25.040192,121.5328,25.040182,24,2.58,-0.5,-1,0,-1,1,32.9625,58.356,101.2598038,11.273,24,25.0401832,121.5325162,45,45,-199.7292205,321.9336711,-150.2460882,319.2601543,2,1.3805348,5.1428571,1.3443909,1.3443909,0.65431285,1.0804185,49.555302,2.4117646,18,1.8379663
25,121.5291,25.040315,121.5299,25.040122,25,2.86,-0.333333333,-0.666666667,0,-1,2,33.65566667,59.05033333,101.3075028,35.64466667,25,25.040227,121.5294458,77,77,-519.1124999,340.2541666,-441.9904931,312.8121586,3,1.4590468,6.810811,1.5395753,1.5395753,0.68260622,1.2158724,81.858826,2.3157895,20,1.7137352
26,121.5299,25.040122,121.5309,25.039863,26,2.51,1,1,0,1,0,32.524,69.716,101.3503418,17.577,26,25.039996,121.5303698,76,76,-441.9904931,312.8121586,-333.9041666,282.398611,4,1.449296,8.3999996,1.6700469,1.6700469,0.69828314,1.1594368,112.28374,2.347826,24,1.7904537
27,121.531,25.040124,121.5316,25.04002,27,2.55,0.5,0,0,0,1,32.645,69.29,101.3523712,29.806,27,25.0400454,121.5314133,80,80,-324.7612531,313.6857528,-268.7035868,299.8079786,1,1.3055289,2.3529413,0.73918515,0.73918515,0.5041489,1.0681599,57.749931,2.5,9,1.7962018
28,121.529,25.039863,121.5298,25.039661,28,2.985,0,0,0,-1,1,34.2865,55.854,101.2729493,2.435,28,25.0396865,121.529709,66,66,-535.3167642,291.9082785,-460.3926703,267.1927527,2,1.4274213,4.9411764,1.31797,1.31797,0.64956075,1.202039,78.895355,2.3333333,16,1.7064047
29,121.5298,25.039661,121.5303,25.039519,29,2.643333333,-0.5,-0.666666667,0.333333333,-1,1.333333333,33.14866667,62.202,101.299586,20.858,29,25.0395471,121.5301535,67,67,-460.3926703,267.1927527,-395.6402777,245.7097222,4,1.4372839,7.394958,1.5448366,1.5448366,0.68307137,1.1608831,68.223114,2.3499999,21,1.7988788
30,121.5303,25.039519,121.531,25.03965,30,2.14,0.5,0,-1,0,0,31.547,72.495,101.3534699,15.88,30,25.0395569,121.5305469,68,68,-395.6402777,245.7097222,-329.1075915,261.4222385,3,1.4989992,5.915493,1.3873369,1.3873369,0.66087639,1.3324437,68.362869,2.2666667,16,1.6082193
31,121.531,25.03965,121.5317,25.039828,31,2.31,0,0,-1,0,1,32.071,70.985,101.357399,37.588,31,25.0397939,121.5315543,69,69,-329.1075915,261.4222385,-261.8984694,277.2945034,4,1.4643856,7.2727275,1.5395753,1.5395753,0.68260622,1.2203213,69.057907,2.3157895,20,1.7376446
32,121.5317,25.039828,121.5322,25.03992,32,2.19,0,0,0,0,0,31.507,72.372,101.345314,5.28,32,25.0398396,121.5317679,70,70,-261.8984694,277.2945034,-204.4347222,290.8652777,1,1.3532825,2.6086957,0.84615386,0.84615386,0.54047632,1.1277354,59.04446,2.4444444,10,1.7367692
33,121.5289,25.039456,121.5294,25.039328,33,2.725,-0.5,-1,2,-1,1,33.365,58.606,101.2758332,4.4655,33,25.0393842,121.5291679,54,54,-552.3876792,240.7890097,-479.4239617,219.8180851,1,1.3616542,1.7142857,0.49860358,0.49860358,0.35620719,1.3616542,75.91761,2.4000001,6,1.5093437
34,121.5287,25.039037,121.5294,25.038978,34,3.1325,0,-0.5,1,-1,1.5,34.5685,56.19125,101.2742481,5.70475,34,25.038994,121.529181,87,87,-582.9652776,195.2625,-485.7342539,186.4918439,3,1.5164965,5.3333335,1.3006579,1.3006579,0.64624065,1.4153968,97.625801,2.2307692,14,1.5425942
35,121.5294,25.038978,121.5304,25.039163,35,2.91,0,0,1,-1,1,33.909,57.355,101.2757683,5.855,35,25.0390594,121.5298593,88,88,-485.7342539,186.4918439,-387.8791692,206.2492466,2,1.3797646,4.5714288,1.1768752,1.1768752,0.62482291,1.0892878,99.82972,2.4285715,15,1.8288469
36,121.5304,25.039163,121.5311,25.039303,36,2.835,0.5,1,1,-1,0,33.8135,60.9385,101.2704087,0.5575,36,25.0392294,121.5307158,89,89,-387.8791692,206.2492466,-320.6749999,219.8180851,3,1.4316345,6.6666665,1.4803609,1.4803609,0.674389,1.1453077,68.560295,2.3684211,20,1.7898073
37.1,121.5311,25.039303,121.5314834,25.0393927,37.1,2.75,-0.5,-1,1,-1,2,33.4255,57.3635,101.2678719,11.648,37.1,25.0393297,121.5312078,90,90,-320.6749999,219.8180851,-259.1152777,194.5569444,4,1.5053972,8.2285719,1.8,1.8,0.71533829,1.3799474,66.541153,2.1904762,22,1.5747191
37.2,121.5314834,25.0393927,121.5315373,25.03909327,37.2,2.725,0,-1,0,-1,1,33.37,57.7615,101.2666283,6.2705,37.2,25.0392147,121.5315146,90,90,-320.6749999,219.8180851,-259.1152777,194.5569444,4,1.5053972,8.2285719,1.8,1.8,0.71533829,1.3799474,66.541153,2.1904762,22,1.5747191
38,121.5316863,25.03908303,121.5322021,25.03904884,38,2.755,-0.5,-1,1,0,2,33.3905,57.885,101.2667465,20.2225,38,25.039036,121.531903,91,91,-259.1152777,194.5569444,-218.896417,192.6282105,3,1.4060923,6.7692308,1.4896638,1.4896638,0.67561632,1.0936273,40.265079,2.4000001,21,1.8471928
39,121.5322,25.039049,121.5327,25.039053,39,1.78,0,0,0,-1,0,30.379,77.241,101.3534393,8.288,39,25.0390333,121.5325596,92,92,-218.896417,192.6282105,-153.2050625,189.4779189,2,1.4174378,4.48,1.1561403,1.1561403,0.61990625,1.1673018,65.766846,2.3846154,14,1.7433239
40,121.5286,25.038665,121.5287,25.038636,40,3.69,0,0,1,-1,1,36.0495,51.2125,101.264843,11.2485,40,25.0386361,121.5286879,84,84,-601.3097221,150.1069444,-553.6028862,149.0249771,2,1.5085742,4,1.1058542,1.1058542,0.60528529,1.5085742,47.719105,2.2,11,1.4395257
41,121.5287,25.038636,121.5295,25.038631,41,2.86,0,-1,2,-1,1,33.768,56.9475,101.2695923,7.161,41,25.0386279,121.5290421,85,85,-553.6028862,149.0249771,-465.1374999,146.9319444,3,1.5531402,4.3636365,1.3270249,1.3270249,0.65321249,1.8982824,88.490143,2,11,1.229477
42,121.5307,25.038862,121.5311,25.038909,42,3.085,0.5,0,1,-1,0,34.4225,56.3255,101.2581788,5.657,42,25.0388676,121.5309387,97,97,-365.3013888,172.4407801,-317.5247014,173.7918439,4,1.5347224,7.4666667,1.6828449,1.6828449,0.70292342,1.4579864,47.795788,2.1666667,19,1.5144788
43,121.5311,25.038909,121.5316,25.038872,43,2.905,0,0,1,-1,0,33.9995,57.6595,101.253624,2.3465,43,25.0388829,121.5313593,100,100,-317.5247014,173.7918439,-268.7035868,170.5492907,4,1.5517561,6.8571429,1.6261337,1.6261337,0.69710863,1.5517561,48.928677,2.125,17,1.4474835
44,121.5288,25.038391,121.5284,25.038411,44,3.265,0.75,0.5,0.5,0,1,34.7475,55.11575,101.2582474,18.94925,44,25.0383855,121.5286798,23,23,-624.2402776,110.9486111,-559.3291665,104.5986111,3,1.5415961,5.1063828,1.3988512,1.3988512,0.66463226,1.6700624,65.22097,2.0833333,13,1.3539122
45,121.5294,25.038387,121.5288,25.038391,45,3.235,0.5,0,1,0,2,34.876,54.347,101.2646981,6.499,45,25.0383887,121.5291668,24,24,-559.3291665,104.5986111,-489.1263888,102.4819444,3,1.4726398,6.0759492,1.3938289,1.3938289,0.66181248,1.2517439,70.23468,2.3125,17,1.6838834
46,121.5306,25.038354,121.5294,25.038387,46,3.245,0.5,-1,0,0,2,34.73,53.8505,101.2562142,23.7655,46,25.0383724,121.5297702,25,25,-489.1263888,102.4819444,-365.3013888,101.0708333,3,1.4791145,6.4000001,1.4666082,1.4666082,0.67273146,1.2678125,123.83304,2.2941177,18,1.664782
47,121.5316239,25.03832873,121.5306,25.038354,47,3.025,0,0,0,-1,1,34.196,55.6595,101.2520981,10.7175,47,25.0383234,121.5311958,26,26,-365.3013888,101.0708333,-271.4624999,101.0708333,4,1.5238379,7.3846154,1.606352,1.606352,0.69234449,1.3787105,93.83889,2.2222223,19,1.5837113
48,121.5319,25.038317,121.5316239,25.03832873,48,1.64,0,0,0,-1,0,30.208,76.785,101.3459015,16.56,48,25.0383228,121.531684,27,27,-271.4624999,101.0708333,-232.6569444,99.6597222,2,1.3993975,4.848485,1.2552096,1.2552096,0.63915122,1.1195179,38.831203,2.4000001,16,1.7939149
49,121.5327,25.038268,121.5319,25.038317,49,1.78,0.5,0,-1,0,1,30.681,75.614,101.3505631,26.671,49,25.0383065,121.5321482,28,28,-232.6569444,99.6597222,-124.1777777,98.60138886,3,1.4860064,5.5081968,1.3076391,1.3076391,0.6475991,1.3111821,108.48433,2.2857144,15,1.6335514
50,121.5298,25.042611,121.5299,25.043106,50,3.06,1,2,-1,0,0,34.095,63.817,101.3482437,8.795,50,25.0427906,121.5298397,4,4,-456.0172422,587.767148,-436.5624999,664.4569443,2,1.4754353,3.8709676,1.0207884,1.0207884,0.58639652,1.3524823,79.118973,2.3,11,1.5687064
51,121.5297,25.042171,121.5298,25.042611,51,3.2,1,1,0,0,1,34.377,63.195,101.3421173,20.702,51,25.0423894,121.5297524,5,5,-468.7349505,537.6300289,-456.0172422,587.767148,3,1.5214777,5.7142859,1.3845592,1.3845592,0.66066402,1.4263853,51.724953,2.2142856,15,1.5276568
52,121.5296,25.041803,121.5297,25.042171,52,3.56,1.5,2,0,1,1,35.254,61.191,101.3411408,25.486,52,25.041882,121.5296166,6,6,-479.248611,496.1819443,-468.7349505,537.6300289,3,1.4316345,6.6666665,1.4803609,1.4803609,0.674389,1.1453077,42.760738,2.3684211,20,1.7898073
